Season,Age,Team,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1960-61,22,LAL,NBA,SG,79,2797,16.0,.468,.393,,,,,,,3.1,3.5,6.6,.113,,,,,MVP-12AS
1961-62,23,LAL,NBA,PG,75,3087,22.9,.524,.516,,,,,,,9.8,3.1,12.9,.201,,,,,MVP-5ASNBA1
1962-63,24,LAL,NBA,PG,55,2163,21.9,.523,.393,,,,,,,5.5,2.6,8.1,.180,,,,,MVP-5ASNBA1
1963-64,25,LAL,NBA,PG,72,2906,24.2,.562,.459,,,,,,,12.2,1.8,14.0,.232,,,,,MVP-5ASNBA1
1964-65,26,LAL,NBA,PG,74,3066,25.0,.572,.477,,,,20.0,,,14.8,1.9,16.7,.261,,,,,MVP-3ASNBA1
1965-66,27,LAL,NBA,SG,79,3218,24.6,.573,.564,,,,21.9,,,14.4,2.7,17.1,.256,,,,,MVP-2ASNBA1
1966-67,28,LAL,NBA,PG,66,2670,22.7,.559,.494,,,,23.1,,,9.4,2.3,11.7,.210,,,,,ASNBA1
1967-68,29,LAL,NBA,SG,51,1919,23.2,.590,.521,,,,22.6,,,8.0,1.6,9.6,.241,,,,,ASNBA2
1968-69,30,LAL,NBA,SG,61,2394,22.3,.557,.516,,,,26.4,,,8.6,2.1,10.8,.216,,,,,ASNBA2DEF2
1969-70,31,LAL,NBA,PG,74,3106,24.6,.572,.469,,,,27.1,,,11.5,3.7,15.2,.234,,,,,MVP-2ASNBA1DEF1
1970-71,32,LAL,NBA,PG,69,2845,23.5,.571,.467,,,5.0,32.3,,,10.2,2.5,12.8,.215,,,,,MVP-2ASNBA1DEF1
1971-72,33,LAL,NBA,PG,77,2973,23.1,.546,.411,,,4.9,33.7,,,8.4,4.9,13.3,.216,,,,,MVP-2ASNBA1DEF1
1972-73,34,LAL,NBA,PG,69,2460,23.2,.533,.326,,,5.4,35.5,,,6.7,3.8,10.6,.206,,,,,MVP-6ASNBA1DEF1
1973-74,35,LAL,NBA,PG,31,967,22.4,.519,.382,3.0,7.8,5.5,32.5,3.6,1.1,1.9,1.3,3.2,.159,3.3,1.4,4.7,1.6,AS