Season,Age,Team,Lg,Pos,G,MP,PER,TS%,FTr,AST%,OWS,DWS,WS,WS/48,Awards
1954-55,22,MLH,NBA,PF,72,2659,24.9,.480,.443,,6.1,4.6,10.7,.194,ROY-1ASNBA1
1955-56,23,STL,NBA,C,72,2794,27.4,.502,.502,,8.9,4.8,13.8,.236,MVP-1ASNBA1
1956-57,24,STL,NBA,C,71,2491,28.3,.494,.463,,8.4,3.2,11.6,.224,MVP-2ASNBA1
1957-58,25,STL,NBA,PF,70,2528,26.3,.492,.525,,7.7,3.4,11.0,.209,MVP-4ASNBA1
1958-59,26,STL,NBA,PF,72,2873,28.2,.519,.536,,11.3,3.5,14.8,.246,MVP-1ASNBA1
1959-60,27,STL,NBA,PF,72,2896,23.8,.510,.473,,8.4,3.2,11.5,.191,MVP-3ASNBA1
1960-61,28,STL,NBA,PF,76,3027,25.2,.511,.467,,8.4,6.5,14.9,.237,MVP-2ASNBA1
1961-62,29,STL,NBA,PF,78,3282,24.5,.522,.467,,9.6,1.9,11.5,.168,MVP-6ASNBA1
1962-63,30,STL,NBA,PF,79,3090,25.0,.525,.507,,8.5,5.8,14.3,.222,MVP-4ASNBA1
1963-64,31,STL,NBA,PF,80,3296,23.6,.535,.451,,10.1,4.8,14.9,.217,MVP-4ASNBA1
1964-65,32,STL,NBA,PF,50,1754,22.6,.510,.439,11.7,4.3,2.7,7.1,.193,ASNBA2